name,address,type,product
(주)세명정공,경상남도 함안군 칠원읍 원서로 213-11 외 4필지,배전반 및 전기 자동제어반 제조업 외 4 종,"조선기자재, 철구조물"
(주)소나무엔지니어링,경상남도 함안군 칠북면 가연로 124 (총 6 필지) 외 5필지,건설 및 채광용 기계장비 제조업,건설기계장비
(주)솔계식품,경상남도 함안군 군북면 사군로 1206 (일반공장) 외 1필지,가금류 가공 및 저장 처리업 외 2 종,육가공품
(주)송정,경상남도 함안군 대산면 부목리 183-3번지 외 3필지,절삭가공 및 유사처리업,"열교환기,집진기,압력탱크"
(주)송학,경상남도 함안군 칠북면 삼칠로 1655 (그래안) 외 1필지,일반용 도료 및 관련제품 제조업,친환경 무기질 수성도료
(주)승일,경상남도 함안군 대산면 부목리 935-1번지 외 6필지,레미콘 제조업,레미콘
(주)승진정밀,경상남도 함안군 칠원읍 예용로 49-6 외 5필지,항공기용 부품 제조업,항공기 가동 부품
(주)신대이엔지,경상남도 함안군 대산면 이산로 100-16 외 1필지,그 외 기타 금속가공업,공작기계부품
(주)신원열처리,경상남도 함안군 법수면 장백로 794 (대화이엔지) (총 4 필지) 외 3필지,금속 열처리업,베어링
(주)신화모텍 함안지점,경상남도 함안군 함안면 광정로 330-2 (성진테크(주)) 외 1필지,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품
