회사명,신고기준년도,폐기물 종류,운반자,처리업소명,처리방법,공장대표주소,,업종명,생산품
삼성레진(주),2015,폐합성수지류(폐염화비닐수지류는 제외한다),(주)모드멘,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 왜관읍 공단로4길 17-18,,,
(주)미래피앤티관호지점,2015,폐합성수지류(폐염화비닐수지류는 제외한다),(주)대화티엔에스,(주)새한산업개발,재활용(중간가공폐기물 제조),경상북도 칠곡군 약목면 관호1길 66-10,,,
건설기술원(주),2015,폐콘크리트,(주)삼우환경,명보환경(주),중간처분(파쇄.분쇄),경상북도 칠곡군 가산면 천평2길 29,,,
건설기술원(주),2015,폐아스팔트콘크리트,(주)삼우환경,명보환경(주),중간처분(파쇄.분쇄),경상북도 칠곡군 가산면 천평2길 29,,,
천지골재,2014,그 밖의 공정오니,내일산업,(주)케이엠그린구미지점,매립(민간관리형매립시설),경상북도 칠곡군 동명면 경북대로 172,,,
대경산업(주)칠곡지점,2014,폐합성수지류(폐염화비닐수지류는 제외한다),대경산업(주)칠곡지점,진영제지공업(주),중간처분(일반소각),경상북도 칠곡군 석적읍 포망로 224-16,,,
대경산업(주)칠곡지점,2014,폐합성수지류(폐염화비닐수지류는 제외한다),대경산업(주)칠곡지점,(주)리사이클피아고령,재활용(중간가공폐기물 제조),경상북도 칠곡군 석적읍 포망로 224-16,,,
(주)디에스,2014,폐합성수지류,(주)제일에너지,(주)제일에너지,중간처분(일반소각),경상북도 칠곡군 북삼읍 칠곡대로 297-17,,,
(주)신우피앤씨,2014,폐합성수지류(폐염화비닐수지류는 제외한다),녹색자원(주),녹색자원(주),재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 2산업단지2길 24-24,,,
(주)신우피앤씨,2014,폐합성수지류(폐염화비닐수지류는 제외한다),늘품산업,늘품산업,재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 2산업단지2길 24-24,,,
(주)합동전자,2014,폐합성수지류(폐염화비닐수지류는 제외한다),한신산업,한신산업,재활용(파쇄.분쇄),경상북도 칠곡군 약목면 칠곡대로 460-20,,,
(주)합동전자,2014,폐합성수지류(폐염화비닐수지류는 제외한다),(주)태흥환경개발,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 약목면 칠곡대로 460-20,,,
(주)엘앤에프,2014,폐내화물,진성리싸이클링,진성리싸이크링,재활용(기타),경상북도 칠곡군 왜관읍 2산업단지1길 135,,,
(주)엘앤에프,2014,폐합성수지류,(주)태흥환경개발,(주)태흥환경개발,중간처분(압축),경상북도 칠곡군 왜관읍 2산업단지1길 135,,,
(주)대주산업칠곡하행휴게소,2014,폐합성수지류(폐염화비닐수지류는 제외한다),세원환경개발,에스티에너지(주),재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 경부고속도로 159,,,
(주)대주산업칠곡하행휴게소,2014,음식물류폐기물,이상화축사,이상화축사,재활용(농업생산활동에 사용),경상북도 칠곡군 왜관읍 경부고속도로 159,,,
(주)대주산업칠곡하행휴게소,2014,폐식용유(식용을 목적으로 식품 재료와 원료를 제조ㆍ조리ㆍ가공하거나 식용유를 유통ㆍ사용 또는 음식물류 폐기물을 처리하는 과정에서 발생하는 기름을 말한다),(주)신성오앤알,(주)신성오앤알,재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 경부고속도로 159,,,
(주)대주산업칠곡하행휴게소,2014,폐합성수지류(폐염화비닐수지류는 제외한다),세원환경개발,신대일제지공업(주),재활용(직접 에너지회수),경상북도 칠곡군 왜관읍 경부고속도로 159,,,
대신기업(주)칠곡지점,2014,폐합성수지류(폐염화비닐수지류는 제외한다),세원환경개발,에스티에너지(주),재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 경부고속도로 158,,,
대신기업(주)칠곡지점,2014,음식물류폐기물,2.5농장,2.5농장,재활용(농업생산활동에 사용),경상북도 칠곡군 왜관읍 경부고속도로 158,,,
대신기업(주)칠곡지점,2014,폐합성수지류(폐염화비닐수지류는 제외한다),세원환경개발,신대일제지공업(주),재활용(직접 에너지회수),경상북도 칠곡군 왜관읍 경부고속도로 158,,,
대신기업(주)칠곡지점,2014,폐식용유(식용을 목적으로 식품 재료와 원료를 제조ㆍ조리ㆍ가공하거나 식용유를 유통ㆍ사용 또는 음식물류 폐기물을 처리하는 과정에서 발생하는 기름을 말한다),(주)신성오앤알,(주)신성오앤알,재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 경부고속도로 158,,,
창덕임업(주),2014,폐목재류 1등급,조흥산업(주),조흥산업(주),중간처분(파쇄.분쇄),경상북도 안동시 평화9길 54 (평화동),,,
(주)화인알텍 4공장,2014,폐합성수지류,세원환경(주),에스티에너지(주),재활용(고형연료화),경상북도 칠곡군 왜관읍 공단로4길 17-25,,,
(주)화인알텍 4공장,2014,폐목재류 1등급,지씨테크(주)경산공장,지씨테크(주)경산공장,재활용(파쇄.분쇄),경상북도 칠곡군 왜관읍 공단로4길 17-25,,,
(주)화인알텍4공장,2014,폐합성수지류(폐염화비닐수지류는 제외한다),(주)그린알앤이달성지점,(주)그린알앤이달성지점,재활용(연료·고형연료제품 제조),경상북도 칠곡군 왜관읍 공단로4길 17-25,,,
(주)화인알텍4공장,2014,폐가구류_ 폐도장목_ 폐목재포장재_ 폐전선드럼(접착제_ 페인트_ 기름_ 콘크리트 등의 물질이 사용된 목재를 말한다),지씨테크(주)경산공장,지씨테크(주)경산공장,재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 공단로4길 17-25,,,
(주)화인알텍4공장,2014,폐발포합성수지,경도금속,경도금속,재활용(원료 제조),경상북도 칠곡군 왜관읍 공단로4길 17-25,,,
(주)화인알텍4공장,2014,폐발포합성수지,영인케미칼,영인케미칼,재활용(원료 제조),경상북도 칠곡군 왜관읍 공단로4길 17-25,,,
