name,address,type,product
우수산업,경상남도 김해시 주촌면 망덕리 173-1,자동차용 동력전달장치 제조업,
우진테크,경상남도 김해시 한림면 가산리 641-1,그외 기타 분류안된 금속가공제품 제조업,
일화마그네틱테크(주),경상남도 김해시 진례면 고모리 348-1,그외 기타 분류안된 금속가공제품 제조업 외 1 종,
장대금속(주),경상남도 김해시 주촌면 원지리 1185,그외 기타 1차 철강 제조업,
정도정밀,경상남도 김해시 진영읍 죽곡리 20-1,기체 여과기 제조업,
주식회사경남전기통신,경상남도 김해시 안동 256-13,텔레비전 제조업 외 5 종,
주식회사대양,경상남도 김해시 한림면 가산리 653,그외 기타 자동차 부품 제조업,
주식회사디에스산업,경상남도 김해시 한림면 명동리 1050-24,선박 구성부분품 제조업,
주식회사디에스알,경상남도 김해시 진례면 고모리 80,커튼 및 유사제품 제조업,
주식회사태성테크윈,경상남도 김해시 주촌면 내삼리 1111-22,금속 절삭기계 제조업,
주원베이커리,경상남도 김해시 진례면 고모리 632-2,빵류 제조업,
중앙정밀,경상남도 김해시 진영읍 하계리 269,그외 기타 전자부품 제조업,
