순번,단지명,회사명,대표업종번호,업종번호,업종명,공장대표주소,시군구,설립구분,생산품
9193,달성일반산업단지,진성씨앤아이(주),25921,25921,금속 열처리업,달성1차산업단지관리공단,달성군,일반산업단지,금속열처리
9194,북구검단지방산업단지,진성압연,30399,30399+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 3 종,(사)대구검단산업단지관리공단,북구,일반산업단지,스프링
9195,,진성엔지니어링,34309,34309,기타자동차부품제조업,대구광역시 달성군,달성군,일반,가계제작+금속가공
9196,대구염색일반산업단지,진성염직,13402,13402,직물+편조원단 및 의복류 염색 가공업,대구염색산업단지관리공단,서구,일반산업단지,섬유염색
9197,,진성옵티칼,27193,27193,안경 및 안경렌즈 제조업,대구광역시 북구,북구,일반,안경테
9198,성서지방산업단지,진성이엔지,29299,29299+29261,그 외 기타 특수목적용 기계 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,자동화기계제작 및 공급장치
9199,,진성전착,25923,25923,도장 및 기타 피막처리업,대구광역시 서구,서구,일반,자동차 및 기계 부품 도장
9200,성서지방산업단지,진성캐스팅,30399,30399,그 외 자동차용 신품 부품 제조업,대구성서산업단지관리공단,달서구,일반산업단지,자동차쿨러카바하이브리드
9201,성서지방산업단지,진성테크,30399,30399+22191+22192+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 5 종,대구성서산업단지관리공단,달서구,일반산업단지,자동차부품 및 방진고무
9202,성서지방산업단지,진성테크,28123,28123+27216,배전반 및 전기 자동제어반 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,자동화장비 
9203,성서지방산업단지,진성텍스타일,13300,13300,편조원단 제조업,대구성서산업단지관리공단,달서구,일반산업단지,원단
9204,성서지방산업단지,진성특수고무공업사,22191,22191+22192,고무패킹류 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,고무롤
9205,성서지방산업단지,진승테크,25929,25929,그 외 기타 금속가공업,대구성서산업단지관리공단,달서구,일반산업단지,금속가공업
9206,대구제3일반산업단지,진아PLATEC,25922,25922,도금업,대구제3산업단지관리공단,북구,일반산업단지,자동차부품 도금
9207,,진양물산,23221,23221,가정용 및 장식용 도자기 제조업,대구광역시 달성군,달성군,일반,도자기
9208,성서지방산업단지,진양산업,13402,13402,직물+편조원단 및 의복류 염색 가공업,대구성서산업단지관리공단,달서구,일반산업단지,양말염색
9209,북구검단지방산업단지,진양스텐전기BOX,28123,28123,배전반 및 전기 자동제어반 제조업,(사)대구검단산업단지관리공단,북구,일반산업단지,전기박스
9210,성서지방산업단지,진양정공,29294,29294,주형 및 금형 제조업,대구성서산업단지관리공단,달서구,일반산업단지,사출금형
9211,성서지방산업단지,진양정밀,30399,30399+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 3 종,대구성서산업단지관리공단,달서구,일반산업단지,차량휠
9212,성서지방산업단지,진양정밀,30399,30399+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 3 종,대구성서산업단지관리공단,달서구,일반산업단지,브라켓류
9213,,진양정밀공업사,29133,29133,탭+밸브 및 유사장치 제조업,대구광역시 북구,북구,일반,산업용벨브부품
9214,달성일반산업단지,진양텍스,13213,13213,화학섬유직물 직조업,달성1차산업단지관리공단,달성군,일반산업단지,폴리에스텔
9215,대구제3일반산업단지,진영공업사,25932,25932,일반철물 제조업,대구제3산업단지관리공단,북구,일반산업단지,새시용호차+크레센트+기타철물
9216,,진영글로벌(주),31911,31911,내연기관용전기장치제조업,대구광역시 달성군,달성군,일반,자동차 전장품 램프류
9217,,진영금속,30399,30399+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 3 종,대구광역시 서구,서구,일반,자동차부품
9218,성서지방산업단지,진영산업,30399,30399+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 3 종,대구성서산업단지관리공단,달서구,일반산업단지,플라스틱 자동차부품
9219,,진영산업,10749,10749,기타 식품 첨가물 제조업,대구광역시 달성군,,일반,고추가루
9220,성서지방산업단지,진영산업사,25929,25929,그 외 기타 금속가공업,대구성서산업단지관리공단,달서구,일반산업단지,기타금속처리업
9221,성서지방산업단지,진영섬유,13213,13213,화학섬유직물 직조업,대구성서산업단지관리공단,달서구,일반산업단지,스판텍스
9222,성서지방산업단지,진영안료,68112,68112,비주거용 건물 임대업,대구성서산업단지관리공단,달서구,일반산업단지,플라스틱재료
