회사명,종업원수,생산품,용지면적(제곱미터),제조시설면적(제곱미터),부대시설면적(제곱미터),공장대표주소,도로명주소,업종명,년도,분기,위도,경도
(주)성환금속,47,동력전달장치구부품,,5832.84,1300.46,경상남도 김해시 주촌면 망덕리 873-2,경상남도 김해시 주촌면 골든루트로 158-12,기어 및 동력전달장치 제조업 외 4 종,2017,4,35.2190187,128.8278509
(주)세강메탈,5,CU INGOT,,247.5,20.41,경상남도 김해시 삼계동 1278-19,경상남도 김해시 안곡로 103 (삼계동),"동 압연, 압출 및 연신제품 제조업",2017,4,35.27509212,128.8522459
(주)세계산업,15,"자동차부품,전자부품",,2659.75,630.9,경상남도 김해시 안동 160-14,경상남도 김해시 김해대로2635번길 66-1 (안동),그 외 자동차용 신품 부품 제조업 외 5 종,2017,4,35.23513852,128.915762
(주)성화테크,13,플라스틱제품,,487.5,0,경상남도 김해시 진례면 담안리 577-2,경상남도 김해시 진례면 고모로 404,폴리스티렌 발포 성형제품 제조업 외 1 종,2017,4,35.25979197,128.7726416
(주)세강,10,"탭,밸브류",,140,101.4,경상남도 김해시 진례면 신월리 411-3,경상남도 김해시 진례면 서부로 828,"탭, 밸브 및 유사장치 제조업",2017,4,35.2307,128.7610885
(주)세계로미소,20,육류,,948,540.38,경상남도 김해시 주촌면 내삼리 842-2,경상남도 김해시 주촌면 서부로1409번길 30,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,2017,4,35.22636336,128.8183835
(주)세경산업,13,고기가공,,567,0,,"경상남도 김해시 주촌면 서부로1403번길 23-100,  외20",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,2017,4,35.22720194,128.8142325
(주)세광,4,산업용송풍기,,489.47,66,경상남도 김해시 한림면 퇴래리 929-1,경상남도 김해시 한림면 김해대로1099번길 129-1,산업용 송풍기 및 배기장치 제조업 외 2 종,2017,4,35.30292371,128.7981762
(주)세동산업,10,자동차부품,,1182.5,470.2,경상남도 김해시 안동 161-20,경상남도 김해시 김해대로2635번길 42-1 (총 2 필지),그 외 자동차용 신품 부품 제조업 외 3 종,2017,4,35.23311259,128.9152377
(주)성훈스틸,5,"형강,판넬",,3000,1230.72,경상남도 김해시 진영읍 죽곡리 204,경상남도 김해시 진영읍 서부로 233,그 외 기타 1차 철강 제조업,2017,4,35.27680802,128.7668386
(주)세경,19,전자부품,,1161.81,1073,경상남도 김해시 한림면 병동리 1099-7,경상남도 김해시 한림면 고모로 750-1,그 외 자동차용 신품 부품 제조업 외 4 종,2017,4,35.28960724,128.7786644
(주)세광,7,알류미늄창호,,225,36.96,경상남도 김해시 상동면 감노리 216,경상남도 김해시 상동면 동북로1007번길 43,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,2017,4,35.3433322,128.9251972
